Municipality_code;Oral_Health_Strategy_coverage;Primary_health_coverage_for_poor_residents_.last.year.;Vaccination_coverage_...;Low_birth_weight_...;Hospital_beds_per_10.000_residents;Family_Health_Strategy_teams_per_10.000_residents;Ultrasound_machines._per_10.000_live_births;cesarean_deliveries;Xray_machines_per_10.000_residents;Life_support_equipment_per_10.000_residents;Mammographies_per_100_women
1400308;100;100;88.6;4.82;12.2;3.4;32.2;39.87;0.7;0;4
1400407;100;100;84.17;4.15;21.3;3.4;0;14.11;0;4.5;1
1400456;100;100;78.8;7.55;29.7;3.8;37.7;24.15;2.9;1.9;2
1400472;25.99;33.9;84.64;7.92;6.6;1.6;0;29.51;0.4;1.2;1
1400506;100;99.54;87.88;8.03;23.6;3;73;35.77;0;1.5;2
1400605;100;100;83.41;10.71;31.1;4.4;0;30.95;4.4;4.4;3
1400704;0;75.62;83.46;7.6;0;2.4;0;15.2;0;0;1
1500107;19.74;45.06;74.25;6.71;15.8;1.1;15.4;47.3;0.4;1.2;1
1500131;100;100;75.23;6.25;23.6;4.4;89.3;27.68;1.5;5.9;1
1500206;42.68;37.11;89.56;6.04;6.2;1.1;12.3;28.24;0.4;0.7;0
1500305;10.57;9.19;73.97;8.53;8.6;0.3;15;14.67;0.3;0.6;0
1500347;44.21;48.05;156.96;6.01;17.2;2;54.6;53.55;0.8;1.6;3
1500404;12.09;10.51;78.83;6.01;18.6;0.4;26.1;15.14;0.6;1.3;0
1500503;11.06;28.85;79.18;6.78;33.3;0.9;27.7;28.49;1.5;2.7;1
1500602;34.94;39.49;79.16;8.37;30.3;1.2;19.6;43.05;1.3;2.5;3
1500701;25.2;32.86;80.57;3.75;8.1;1.2;0;8.32;0.8;1.6;0
1500800;9.55;58.7;81.69;7.97;19.7;1.7;24;52.21;0.5;1.8;7
1500859;67.58;58.76;75.55;4.05;7.3;1.9;25.3;32.91;1;1.5;2
1500909;61.42;83.93;66.54;7.12;14.1;2.7;18;21.46;0.5;1;0
1500958;15.46;40.33;85.07;6.16;24.9;1.1;23.7;34.12;0.4;1.9;0
1501006;0;14.8;70.76;4.37;0;0.6;0;14.85;0;0;0
1501105;0;29.43;73.87;10;0;0.8;0;4.69;0;0;2
1501204;48.76;42.4;77.49;6.83;8.1;1.4;68.3;35.32;1.1;2.2;0
1501253;87.41;76.01;106.63;6.38;29.1;2.9;212.8;57.45;2.9;5.8;4
1501303;11.18;45.37;84.34;8.71;8.5;1.3;15.1;48.49;0.3;0.7;2
1501402;1.44;31.92;76.95;9.7;16.9;0.6;22.6;66.75;0.6;1.7;8
1501451;81.68;94.7;87.39;6.03;11;2.5;0;26.63;0.6;1.8;2
1501501;66.62;100;81.6;7.92;26.5;2.9;30.5;58.38;0.6;2.3;1
1501576;76.14;100;75.44;4.96;20.3;3.9;41.3;31.82;0.7;3.9;1
1501600;57.44;100;73.15;6.83;0;3.7;48.8;50.73;0;0;0
1501709;29;36.43;87.24;8.21;27.8;1.1;22.1;28.16;0.7;1.5;1
1501725;87.32;75.93;119.48;10.14;24.9;3.2;35;37.06;0.6;1.3;8
1501758;44.88;39.02;84.94;7.8;32.8;1.4;70.9;28.37;1.4;1.4;0
