 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
150805 Trairão;9786;8227;18013
150808 Tucumã;19366;17797;37163
150810 Tucuruí;53325;53444;106769
150812 Ulianópolis;27237;26433;53670
150815 Uruará;23453;20860;44313
150820 Vigia;26290;24683;50973
150830 Viseu;31209;27617;58826
150835 Vitória do Xingu;7956;6392;14348
150840 Xinguara;21673;20997;42670
160010 Amapá;4562;4058;8620
160020 Calçoene;5549;4614;10163
160021 Cutias;2759;2646;5405
160023 Ferreira Gomes;3656;3243;6899
160025 Itaubal;2732;2220;4952
160027 Laranjal do Jari;23467;22249;45716
160030 Macapá;226099;230076;456175
160040 Mazagão;10419;9155;19574
160050 Oiapoque;12737;11525;24262
160015 Pedra Branca do Amapari;7505;6483;13988
160053 Porto Grande;10284;9385;19669
160055 Pracuúba;2437;2095;4532
160060 Santana;56214;56006;112220
160005 Serra do Navio;2574;2365;4939
160070 Tartarugalzinho;8131;7083;15214
160080 Vitória do Jari;7548;6816;14364
170025 Abreulândia;1293;1245;2538
170030 Aguiarnópolis;3088;3065;6153
170035 Aliança do Tocantins;2852;2749;5601
170040 Almas;3842;3566;7408
170070 Alvorada;4375;4158;8533
170100 Ananás;5041;4805;9846
170105 Angico;1807;1573;3380
170110 Aparecida do Rio Negro;2382;2238;4620
170130 Aragominas;3137;2772;5909
170190 Araguacema;3667;3197;6864
170200 Araguaçu;4519;4258;8777
170210 Araguaína;83685;86497;170182
170215 Araguanã;2840;2675;5515
170220 Araguatins;17488;16905;34393
170230 Arapoema;3523;3277;6800
170240 Arraias;5419;5358;10777
170255 Augustinópolis;8810;8821;17631
170270 Aurora do Tocantins;1883;1799;3682
170290 Axixá do Tocantins;4850;4854;9704
170300 Babaçulândia;5710;5025;10735
170305 Bandeirantes do Tocantins;1872;1548;3420
170307 Barra do Ouro;2361;2099;4460
170310 Barrolândia;2904;2699;5603
170320 Bernardo Sayão;2322;2209;4531
170330 Bom Jesus do Tocantins;2328;2148;4476
170360 Brasilândia do Tocantins;1094;1081;2175
170370 Brejinho de Nazaré;2687;2766;5453
170380 Buriti do Tocantins;5522;5315;10837
170382 Cachoeirinha;1205;1054;2259
170384 Campos Lindos;4966;4443;9409
170386 Cariri do Tocantins;2400;1778;4178
170388 Carmolândia;1306;1201;2507
170389 Carrasco Bonito;2105;1881;3986
170390 Caseara;2637;2482;5119
170410 Centenário;1495;1310;2805
170510 Chapada da Natividade;1831;1532;3363
170460 Chapada de Areia;742;653;1395
170550 Colinas do Tocantins;16813;17168;33981
171670 Colméia;4322;4204;8526
170555 Combinado;2454;2395;4849
170560 Conceição do Tocantins;2116;2089;4205
170600 Couto Magalhães;2872;2552;5424
170610 Cristalândia;3840;3548;7388
170625 Crixás do Tocantins;884;798;1682
170650 Darcinópolis;3103;2727;5830
170700 Dianópolis;10701;10465;21166
170710 Divinópolis do Tocantins;3465;3314;6779
170720 Dois Irmãos do Tocantins;4017;3282;7299
170730 Dueré;2519;2202;4721
170740 Esperantina;5431;5078;10509
170755 Fátima;1963;1921;3884
170765 Figueirópolis;2714;2671;5385
170770 Filadélfia;4657;4189;8846
170820 Formoso do Araguaia;9886;8857;18743
170825 Fortaleza do Tabocão;1263;1292;2555
170830 Goianorte;2758;2378;5136
170900 Goiatins;6662;6152;12814
170930 Guaraí;12808;12341;25149
170950 Gurupi;41901;41805;83706
170980 Ipueiras;1001;878;1879
171050 Itacajá;3909;3502;7411
171070 Itaguatins;3035;2999;6034
171090 Itapiratins;2010;1724;3734
171110 Itaporã do Tocantins;1298;1176;2474
171150 Jaú do Tocantins;1908;1851;3759
171180 Juarina;1173;1070;2243
171190 Lagoa da Confusão;6646;5536;12182
171195 Lagoa do Tocantins;2127;1917;4044
171200 Lajeado;1571;1454;3025
171215 Lavandeira;923;898;1821
171240 Lizarda;2060;1733;3793
171245 Luzinópolis;1516;1428;2944
171250 Marianópolis do Tocantins;2581;2317;4898
171270 Mateiros;1354;1170;2524
171280 Maurilândia do Tocantins;1795;1570;3365
171320 Miracema do Tocantins;9505;10132;19637
171330 Miranorte;6759;6541;13300
171360 Monte do Carmo;3975;3559;7534
171370 Monte Santo do Tocantins;1166;1068;2234
171395 Muricilândia;1804;1628;3432
171420 Natividade;4763;4526;9289
171430 Nazaré;2128;2048;4176
171488 Nova Olinda;6058;5453;11511
171500 Nova Rosalândia;2151;1962;4113
171510 Novo Acordo;2127;2028;4155
171515 Novo Alegre;1190;1157;2347
171525 Novo Jardim;1367;1277;2644
171550 Oliveira de Fátima;579;517;1096
172100 Palmas;134687;138040;272727
171570 Palmeirante;3035;2614;5649
171380 Palmeiras do Tocantins;3359;3003;6362
171575 Palmeirópolis;3835;3814;7649
171610 Paraíso do Tocantins;24466;24610;49076
171620 Paranã;5566;5006;10572
171630 Pau D'Arco;2652;2160;4812
171650 Pedro Afonso;6655;6249;12904
171660 Peixe;5843;5492;11335
171665 Pequizeiro;2809;2571;5380
171700 Pindorama do Tocantins;2397;2150;4547
171720 Piraquê;1727;1306;3033
171750 Pium;3856;3503;7359
171780 Ponte Alta do Bom Jesus;2471;2181;4652
171790 Ponte Alta do Tocantins;4180;3611;7791
171800 Porto Alegre do Tocantins;1547;1493;3040
171820 Porto Nacional;26126;26056;52182
171830 Praia Norte;4118;4114;8232
171840 Presidente Kennedy;1921;1822;3743
171845 Pugmil;1382;1205;2587
171850 Recursolândia;2217;1915;4132
171855 Riachinho;2337;2186;4523
171865 Rio da Conceição;1011;972;1983
171870 Rio dos Bois;1451;1312;2763
171875 Rio Sono;3488;2999;6487
171880 Sampaio;2241;2173;4414
171884 Sandolândia;1787;1627;3414
171886 Santa Fé do Araguaia;3704;3525;7229
171888 Santa Maria do Tocantins;1748;1506;3254
171889 Santa Rita do Tocantins;1129;1173;2302
171890 Santa Rosa do Tocantins;2551;2240;4791
171900 Santa Tereza do Tocantins;1492;1275;2767
172000 Santa Terezinha do Tocantins;1311;1239;2550
172010 São Bento do Tocantins;2591;2504;5095
172015 São Félix do Tocantins;854;689;1543
