 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
314930 Pedro Leopoldo;31076;31875;62951
314940 Pedro Teixeira;978;863;1841
314950 Pequeri;1651;1675;3326
314960 Pequi;2213;2127;4340
314970 Perdigão;5445;4970;10415
314980 Perdizes;8244;7396;15640
314990 Perdões;10495;10745;21240
314995 Periquito;3557;3542;7099
315000 Pescador;2105;2186;4291
315010 Piau;1513;1355;2868
315015 Piedade de Caratinga;4155;3856;8011
315020 Piedade de Ponte Nova;2084;2118;4202
315030 Piedade do Rio Grande;2427;2292;4719
315040 Piedade dos Gerais;2592;2337;4929
315050 Pimenta;4506;4150;8656
315053 Pingo-d'Água;2395;2394;4789
315057 Pintópolis;3990;3552;7542
315060 Piracema;3330;3239;6569
315070 Pirajuba;3144;2389;5533
315080 Piranga;9097;8769;17866
315090 Piranguçu;2832;2644;5476
315100 Piranguinho;4323;4181;8504
315110 Pirapetinga;5376;5440;10816
315120 Pirapora;27779;28449;56228
315130 Piraúba;5639;5464;11103
315140 Pitangui;13659;13611;27270
315150 Piumhi;17144;16933;34077
315160 Planura;6117;5395;11512
315170 Poço Fundo;8743;8029;16772
315180 Poços de Caldas;79795;83882;163677
315190 Pocrane;4587;4354;8941
315200 Pompéu;15853;15324;31177
315210 Ponte Nova;29049;30961;60010
315213 Ponto Chique;2170;2045;4215
315217 Ponto dos Volantes;6254;5764;12018
315220 Porteirinha;19578;19138;38716
315230 Porto Firme;5761;5347;11108
315240 Poté;8308;8194;16502
315250 Pouso Alegre;72178;71668;143846
315260 Pouso Alto;3168;3067;6235
315270 Prados;4553;4366;8919
315280 Prata;14329;13146;27475
315290 Pratápolis;4514;4413;8927
315300 Pratinha;1824;1696;3520
315310 Presidente Bernardes;2850;2745;5595
315320 Presidente Juscelino;2007;1866;3873
315330 Presidente Kubitschek;1564;1489;3053
315340 Presidente Olegário;10094;9371;19465
315360 Prudente de Morais;5173;5214;10387
315370 Quartel Geral;1851;1663;3514
315380 Queluzito;1015;932;1947
315390 Raposos;7853;8380;16233
315400 Raul Soares;12180;12213;24393
315410 Recreio;5269;5401;10670
315415 Reduto;3626;3397;7023
315420 Resende Costa;5725;5749;11474
315430 Resplendor;8814;8864;17678
315440 Ressaquinha;2466;2369;4835
315445 Riachinho;4361;3914;8275
315450 Riacho dos Machados;4959;4695;9654
315460 Ribeirão das Neves;161094;161568;322662
315470 Ribeirão Vermelho;1938;2086;4024
315480 Rio Acima;4953;4974;9927
315490 Rio Casca;6900;7346;14246
315510 Rio do Prado;2751;2564;5315
315500 Rio Doce;1314;1280;2594
315520 Rio Espera;3035;2897;5932
315530 Rio Manso;3029;2656;5685
315540 Rio Novo;4554;4497;9051
315550 Rio Paranaíba;6327;6070;12397
315560 Rio Pardo de Minas;15865;14867;30732
315570 Rio Piracicaba;7254;7350;14604
315580 Rio Pomba;9048;8890;17938
315590 Rio Preto;2787;2728;5515
315600 Rio Vermelho;6748;6851;13599
315610 Ritápolis;2416;2479;4895
315620 Rochedo de Minas;1179;1082;2261
315630 Rodeiro;3830;3823;7653
315640 Romaria;1877;1781;3658
315645 Rosário da Limeira;2343;2180;4523
315650 Rubelita;3712;3383;7095
315660 Rubim;5391;4941;10332
315670 Sabará;65225;69158;134383
315680 Sabinópolis;7988;7999;15987
315690 Sacramento;13175;12452;25627
315700 Salinas;20561;20741;41302
315710 Salto da Divisa;3680;3425;7105
315720 Santa Bárbara;15021;15144;30165
315725 Santa Bárbara do Leste;4154;3958;8112
315727 Santa Bárbara do Monte Verde;1609;1428;3037
315730 Santa Bárbara do Tugúrio;2340;2276;4616
315733 Santa Cruz de Minas;4139;4292;8431
315737 Santa Cruz de Salinas;2309;2074;4383
315740 Santa Cruz do Escalvado;2557;2446;5003
315750 Santa Efigênia de Minas;2257;2365;4622
315760 Santa Fé de Minas;2106;1901;4007
315765 Santa Helena de Minas;3184;3179;6363
315770 Santa Juliana;6718;6225;12943
315780 Santa Luzia;105891;110361;216252
315790 Santa Margarida;8113;7868;15981
315800 Santa Maria de Itabira;5496;5467;10963
315810 Santa Maria do Salto;2791;2601;5392
315820 Santa Maria do Suaçuí;7486;7387;14873
315920 Santa Rita de Caldas;4722;4495;9217
315940 Santa Rita de Ibitipoca;1869;1728;3597
315930 Santa Rita de Jacutinga;2574;2491;5065
315935 Santa Rita de Minas;3602;3437;7039
315950 Santa Rita do Itueto;2996;2746;5742
315960 Santa Rita do Sapucaí;21070;20353;41423
315970 Santa Rosa da Serra;1763;1604;3367
315980 Santa Vitória;10238;9152;19390
315830 Santana da Vargem;3638;3714;7352
315840 Santana de Cataguases;1936;1898;3834
315850 Santana de Pirapama;4099;3929;8028
315860 Santana do Deserto;1974;2045;4019
315870 Santana do Garambéu;1266;1134;2400
315880 Santana do Jacaré;2457;2370;4827
315890 Santana do Manhuaçu;4557;4284;8841
315895 Santana do Paraíso;16056;15547;31603
315900 Santana do Riacho;2147;2109;4256
315910 Santana dos Montes;1996;1901;3897
315990 Santo Antônio do Amparo;9223;9145;18368
316000 Santo Antônio do Aventureiro;1902;1757;3659
316010 Santo Antônio do Grama;2067;2037;4104
316020 Santo Antônio do Itambé;2033;2057;4090
316030 Santo Antônio do Jacinto;6205;5800;12005
316040 Santo Antônio do Monte;14178;13580;27758
316045 Santo Antônio do Retiro;3738;3554;7292
316050 Santo Antônio do Rio Abaixo;915;900;1815
316060 Santo Hipólito;1620;1624;3244
316070 Santos Dumont;23474;24082;47556
316080 São Bento Abade;2653;2394;5047
316090 São Brás do Suaçuí;1864;1850;3714
316095 São Domingos das Dores;2827;2837;5664
316100 São Domingos do Prata;8709;9089;17798
316105 São Félix de Minas;1786;1673;3459
316110 São Francisco;28932;27493;56425
316120 São Francisco de Paula;3385;3285;6670
316130 São Francisco de Sales;3196;2952;6148
316140 São Francisco do Glória;2656;2490;5146
316150 São Geraldo;6037;5522;11559
316160 São Geraldo da Piedade;2120;2170;4290
316165 São Geraldo do Baixio;1972;1867;3839
316170 São Gonçalo do Abaeté;3523;3258;6781
316180 São Gonçalo do Pará;5932;5720;11652
316190 São Gonçalo do Rio Abaixo;5318;5272;10590
312550 São Gonçalo do Rio Preto;1576;1612;3188
316200 São Gonçalo do Sapucaí;12799;12474;25273
316210 São Gotardo;17548;16875;34423
316220 São João Batista do Glória;3801;3540;7341
316225 São João da Lagoa;2602;2300;4902
316230 São João da Mata;1416;1395;2811
316240 São João da Ponte;13570;12336;25906
316245 São João das Missões;6631;6024;12655
316250 São João del Rei;43236;46143;89379
316255 São João do Manhuaçu;5778;5376;11154
316257 São João do Manteninha;2796;2852;5648
316260 São João do Oriente;3926;3960;7886
316265 São João do Pacuí;2219;2121;4340
316270 São João do Paraíso;12011;11510;23521
316280 São João Evangelista;7976;8078;16054
316290 São João Nepomuceno;12979;13354;26333
316292 São Joaquim de Bicas;16345;12817;29162
316294 São José da Barra;3776;3494;7270
316295 São José da Lapa;11143;11111;22254
316300 São José da Safira;2151;2125;4276
316310 São José da Varginha;2415;2287;4702
316320 São José do Alegre;2058;2140;4198
316330 São José do Divino;1956;1990;3946
316340 São José do Goiabal;2786;2888;5674
316350 São José do Jacuri;3429;3241;6670
316360 São José do Mantimento;1380;1379;2759
316370 São Lourenço;21509;23271;44780
316380 São Miguel do Anta;3586;3433;7019
316390 São Pedro da União;2659;2318;4977
316410 São Pedro do Suaçuí;2846;2709;5555
316400 São Pedro dos Ferros;4170;4116;8286
316420 São Romão;6019;5530;11549
316430 São Roque de Minas;3687;3345;7032
316440 São Sebastião da Bela Vista;2779;2568;5347
316443 São Sebastião da Vargem Alegre;1567;1403;2970
316447 São Sebastião do Anta;3214;3075;6289
316450 São Sebastião do Maranhão;5380;5243;10623
316460 São Sebastião do Oeste;3365;3064;6429
316470 São Sebastião do Paraíso;34817;34761;69578
316480 São Sebastião do Rio Preto;755;846;1601
316490 São Sebastião do Rio Verde;1098;1130;2228
316520 São Thomé das Letras;3768;3268;7036
316500 São Tiago;5637;5379;11016
316510 São Tomás de Aquino;3602;3631;7233
316530 São Vicente de Minas;3673;3884;7557
316540 Sapucaí-Mirim;3463;3274;6737
316550 Sardoá;3063;3020;6083
316553 Sarzedo;14965;14925;29890
316556 Sem-Peixe;1396;1415;2811
316557 Senador Amaral;2927;2492;5419
316560 Senador Cortes;1002;1047;2049
316570 Senador Firmino;3899;3806;7705
316580 Senador José Bento;925;812;1737
316590 Senador Modestino Gonçalves;2257;2228;4485
316600 Senhora de Oliveira;2961;2916;5877
316610 Senhora do Porto;1856;1744;3600
316620 Senhora dos Remédios;5368;5218;10586
316630 Sericita;3820;3583;7403
316640 Seritinga;988;879;1867
316650 Serra Azul de Minas;2207;2156;4363
316660 Serra da Saudade;429;384;813
316680 Serra do Salitre;5791;5534;11325
316670 Serra dos Aimorés;4394;4371;8765
316690 Serrania;3962;3840;7802
316695 Serranópolis de Minas;2398;2316;4714
316700 Serranos;1064;971;2035
316710 Serro;10775;10653;21428
316720 Sete Lagoas;114005;118104;232109
316555 Setubinha;5876;5963;11839
316730 Silveirânia;1217;1068;2285
316740 Silvianópolis;3285;2997;6282
316750 Simão Pereira;1296;1343;2639
316760 Simonésia;10188;9234;19422
316770 Sobrália;2864;2982;5846
316780 Soledade de Minas;3039;3014;6053
316790 Tabuleiro;2043;1976;4019
316800 Taiobeiras;16473;16845;33318
316805 Taparuba;1650;1551;3201
316810 Tapira;2504;2043;4547
316820 Tapiraí;1062;859;1921
316830 Taquaraçu de Minas;2180;1848;4028
316840 Tarumirim;7349;7326;14675
316850 Teixeiras;5744;6050;11794
316860 Teófilo Otoni;68331;72717;141048
316870 Timóteo;42806;44739;87545
316880 Tiradentes;3864;3775;7639
316890 Tiros;3465;3409;6874
316900 Tocantins;8399;8239;16638
316905 Tocos do Moji;2267;1863;4130
316910 Toledo;3272;2879;6151
316920 Tombos;4581;4455;9036
316930 Três Corações;39128;38793;77921
316935 Três Marias;15622;15409;31031
316940 Três Pontas;28206;28441;56647
316950 Tumiritinga;3441;3232;6673
316960 Tupaciguara;12894;12468;25362
316970 Turmalina;9963;9492;19455
316980 Turvolândia;2572;2392;4964
316990 Ubá;55677;55337;111014
317000 Ubaí;6356;6038;12394
317005 Ubaporanga;6407;6153;12560
317010 Uberaba;159676;162445;322121
317020 Uberlândia;327073;335290;662363
317030 Umburatiba;1439;1287;2726
317040 Unaí;42288;40596;82884
317043 União de Minas;2466;2006;4472
317047 Uruana de Minas;1679;1657;3336
317050 Urucânia;5283;5302;10585
317052 Urucuia;8024;7534;15558
317057 Vargem Alegre;3414;3218;6632
317060 Vargem Bonita;1179;1035;2214
317065 Vargem Grande do Rio Pardo;2630;2355;4985
317070 Varginha;64871;67487;132358
317075 Varjão de Minas;3566;3197;6763
317080 Várzea da Palma;19832;18704;38536
317090 Varzelândia;10161;9539;19700
317100 Vazante;10492;10159;20651
317103 Verdelândia;4662;4395;9057
317107 Veredinha;3105;2672;5777
317110 Veríssimo;1943;1880;3823
317115 Vermelho Novo;2561;2323;4884
317120 Vespasiano;58233;60324;118557
317130 Viçosa;37873;39448;77321
317140 Vieiras;1910;1853;3763
317160 Virgem da Lapa;7076;6953;14029
317170 Virgínia;4471;4396;8867
317180 Virginópolis;5375;5433;10808
317190 Virgolândia;2785;2875;5660
317200 Visconde do Rio Branco;20557;20625;41182
317210 Volta Grande;2608;2677;5285
317220 Wenceslau Braz;1320;1295;2615
320010 Afonso Cláudio;16517;15940;32457
320016 Água Doce do Norte;6147;5874;12021
320013 Águia Branca;5279;4786;10065
320020 Alegre;16190;16018;32208
320030 Alfredo Chaves;7732;7245;14977
320035 Alto Rio Novo;4013;3919;7932
320040 Anchieta;14119;13502;27621
320050 Apiacá;4038;3888;7926
320060 Aracruz;48157;46901;95058
320070 Atilio Vivacqua;5740;5438;11178
320080 Baixo Guandu;15552;15914;31466
320090 Barra de São Francisco;22748;21850;44598
320100 Boa Esperança;7805;7516;15321
320110 Bom Jesus do Norte;4975;5201;10176
320115 Brejetuba;6682;6075;12757
320120 Cachoeiro de Itapemirim;103635;105066;208701
320130 Cariacica;188184;193614;381798
320140 Castelo;19038;18793;37831
320150 Colatina;60508;62139;122647
320160 Conceição da Barra;15722;15408;31130
320170 Conceição do Castelo;6619;6146;12765
320180 Divino de São Lourenço;2438;2210;4648
320190 Domingos Martins;17636;16783;34419
320200 Dores do Rio Preto;3527;3363;6890
320210 Ecoporanga;12289;11984;24273
320220 Fundão;10064;9923;19987
320225 Governador Lindenberg;6585;5700;12285
320230 Guaçuí;15359;15327;30686
320240 Guarapari;58965;60836;119801
320245 Ibatiba;12901;12344;25245
320250 Ibiraçu;6200;6159;12359
320255 Ibitirama;4900;4485;9385
320260 Iconha;7148;6641;13789
320265 Irupi;6777;6320;13097
320270 Itaguaçu;7640;7189;14829
320280 Itapemirim;17180;17094;34274
320290 Itarana;5696;5593;11289
320300 Iúna;14889;14700;29589
320305 Jaguaré;14560;14083;28643
320310 Jerônimo Monteiro;5765;6111;11876
320313 João Neiva;8496;8527;17023
320316 Laranja da Terra;5938;5497;11435
320320 Linhares;82806;80857;163663
320330 Mantenópolis;7679;7444;15123
320332 Marataízes;18878;19047;37925
320334 Marechal Floriano;8230;7896;16126
320335 Marilândia;6211;6140;12351
320340 Mimoso do Sul;13879;13468;27347
320350 Montanha;9783;9439;19222
320360 Mucurici;3012;2873;5885
320370 Muniz Freire;9633;9280;18913
320380 Muqui;7995;7636;15631
320390 Nova Venécia;25613;24687;50300
320400 Pancas;12170;11248;23418
320405 Pedro Canário;13233;12893;26126
320410 Pinheiros;13547;13041;26588
320420 Piúma;10252;10463;20715
320425 Ponto Belo;3852;3895;7747
320430 Presidente Kennedy;5816;5493;11309
320435 Rio Bananal;10001;9179;19180
320440 Rio Novo do Sul;6186;5856;12042
320450 Santa Leopoldina;6852;6030;12882
320455 Santa Maria de Jetibá;20260;18590;38850
320460 Santa Teresa;11969;11765;23734
320465 São Domingos do Norte;4610;4100;8710
320470 São Gabriel da Palha;18383;17945;36328
320480 São José do Calçado;5537;5475;11012
320490 São Mateus;62316;62261;124577
320495 São Roque do Canaã;6225;6158;12383
320500 Serra;242397;242978;485375
320501 Sooretama;14375;13590;27965
320503 Vargem Alta;10904;10236;21140
320506 Venda Nova do Imigrante;12101;11646;23747
320510 Viana;38948;35549;74497
320515 Vila Pavão;4927;4441;9368
320517 Vila Valério;7778;6878;14656
320520 Vila Velha;231161;241598;472759
320530 Vitória;169358;186518;355876
330010 Angra dos Reis;95046;93233;188279
330015 Aperibé;5527;5492;11019
330020 Araruama;60213;62657;122870
330022 Areal;6079;5894;11973
330023 Armação dos Búzios;15640;15426;31066
330025 Arraial do Cabo;14453;14643;29096
330030 Barra do Piraí;46865;50001;96866
330040 Barra Mansa;87972;91943;179915
330045 Belford Roxo;235448;245679;481127
330050 Bom Jardim;13308;12968;26276
330060 Bom Jesus do Itabapoana;17775;18188;35963
330070 Cabo Frio;102716;105734;208450
330080 Cachoeiras de Macacu;28528;27761;56289
330090 Cambuci;7481;7354;14835
330100 Campos dos Goytacazes;237078;246889;483967
330110 Cantagalo;9920;9837;19757
330093 Carapebus;7717;7290;15007
330115 Cardoso Moreira;6345;6215;12560
330120 Carmo;9097;9102;18199
330130 Casimiro de Abreu;20134;20175;40309
330095 Comendador Levy Gasparian;4163;4082;8245
330140 Conceição de Macabu;11252;10909;22161
330150 Cordeiro;10206;10856;21062
330160 Duas Barras;5662;5461;11123
330170 Duque de Caxias;430355;452374;882729
330180 Engenheiro Paulo de Frontin;6740;6886;13626
330185 Guapimirim;28049;28465;56514
330187 Iguaba Grande;12604;13299;25903
330190 Itaboraí;112823;116184;229007
330200 Itaguaí;60763;58381;119144
330205 Italva;7255;7312;14567
330210 Itaocara;11339;11444;22783
330220 Itaperuna;48856;50165;99021
330225 Itatiaia;15187;15051;30238
330227 Japeri;51620;48243;99863
330230 Laje do Muriaé;3716;3583;7299
330240 Macaé;118607;116023;234630
330245 Macuco;2652;2743;5395
330250 Magé;115743;119066;234809
330260 Mangaratiba;20110;20665;40775
330270 Maricá;72770;73775;146545
330280 Mendes;8838;9259;18097
330285 Mesquita;81401;89352;170753
330290 Miguel Pereira;11900;12942;24842
330300 Miracema;13171;13496;26667
330310 Natividade;7554;7457;15011
330320 Nilópolis;75003;83303;158306
330330 Niterói;233781;262914;496695
330340 Nova Friburgo;89453;95333;184786
330350 Nova Iguaçu;392118;415370;807488
330360 Paracambi;25682;23838;49520
330370 Paraíba do Sul;20576;21776;42352
330380 Paraty;20741;19737;40478
330385 Paty do Alferes;13150;13672;26822
330390 Petrópolis;143841;154303;298144
330395 Pinheiral;11644;12243;23887
330400 Piraí;13814;14028;27842
330410 Porciúncula;9247;8811;18058
330411 Porto Real;9094;9175;18269
330412 Quatis;6590;6953;13543
330414 Queimados;70339;73292;143631
330415 Quissamã;11351;11355;22706
330420 Resende;61863;63352;125215
330430 Rio Bonito;28525;29090;57615
330440 Rio Claro;9082;8745;17827
330450 Rio das Flores;4448;4445;8893
330452 Rio das Ostras;66433;65544;131977
330455 Rio de Janeiro;3086005;3390624;6476629
330460 Santa Maria Madalena;5327;4905;10232
330470 Santo Antônio de Pádua;20487;20689;41176
330480 São Fidélis;18709;18997;37706
330475 São Francisco de Itabapoana;21025;20262;41287
330490 São Gonçalo;499188;538891;1038079
330500 São João da Barra;17421;17160;34581
330510 São João de Meriti;221562;239061;460623
330513 São José de Ubá;3623;3581;7204
330515 São José do Vale do Rio Preto;10710;10201;20911
330520 São Pedro da Aldeia;48519;48403;96922
330530 São Sebastião do Alto;4563;4489;9052
330540 Sapucaia;8978;8627;17605
330550 Saquarema;41587;40772;82359
330555 Seropédica;41483;41407;82890
330560 Silva Jardim;10925;10381;21306
330570 Sumidouro;7922;7208;15130
330575 Tanguá;16432;15995;32427
330580 Teresópolis;83428;89635;173063
330590 Trajano de Moraes;5437;4914;10351
330600 Três Rios;38376;40886;79262
330610 Valença;35894;37832;73726
330615 Varre-Sai;5241;5163;10404
330620 Vassouras;17076;18356;35432
330630 Volta Redonda;126898;136068;262966
350010 Adamantina;17287;17765;35052
350020 Adolfo;1831;1791;3622
350030 Aguaí;17888;16978;34866
350040 Águas da Prata;3978;4047;8025
350050 Águas de Lindóia;9062;9254;18316
350055 Águas de Santa Bárbara;2971;2976;5947
350060 Águas de São Pedro;1512;1627;3139
350070 Agudos;18250;18278;36528
350075 Alambari;2809;2749;5558
350080 Alfredo Marcondes;2084;2014;4098
350090 Altair;2214;1845;4059
350100 Altinópolis;8161;8014;16175
350110 Alto Alegre;2144;2028;4172
350115 Alumínio;9229;8832;18061
350120 Álvares Florence;2014;1838;3852
350130 Álvares Machado;12274;12378;24652
350140 Álvaro de Carvalho;3233;1795;5028
350150 Alvinlândia;1547;1623;3170
350160 Americana;113633;115687;229320
350170 Américo Brasiliense;19346;18855;38201
350180 Américo de Campos;2993;2951;5944
350190 Amparo;34951;35327;70278
350200 Analândia;2478;2250;4728
350210 Andradina;28561;28689;57250
350220 Angatuba;12329;11830;24159
350230 Anhembi;3255;3054;6309
350240 Anhumas;1987;2010;3997
350250 Aparecida;17587;18631;36218
350260 Aparecida d'Oeste;2174;2224;4398
350270 Apiaí;12730;12484;25214
350275 Araçariguama;10330;9784;20114
350280 Araçatuba;94034;98723;192757
350290 Araçoiaba da Serra;15762;15554;31316
350300 Aramina;2796;2692;5488
350310 Arandu;3252;3097;6349
350315 Arapeí;1314;1210;2524
350320 Araraquara;110603;115906;226509
350330 Araras;64238;64659;128897
350335 Arco-Íris;950;943;1893
350340 Arealva;4340;4011;8351
350350 Areias;1916;1940;3856
350360 Areiópolis;5750;5297;11047
350370 Ariranha;4795;4478;9273
350380 Artur Nogueira;25413;24833;50246
350390 Arujá;41792;42145;83937
350395 Aspásia;910;943;1853
350400 Assis;50300;51298;101598
350410 Atibaia;68209;68980;137189
350420 Auriflama;7517;7445;14962
350430 Avaí;2677;2603;5280
350440 Avanhandava;7471;5250;12721
350450 Avaré;44206;44181;88387
350460 Bady Bassitt;8160;8200;16360
350470 Balbinos;4518;301;4819
350480 Bálsamo;4327;4445;8772
350490 Bananal;5453;5324;10777
350500 Barão de Antonina;1753;1600;3353
350510 Barbosa;3676;3454;7130
350520 Bariri;17327;16721;34048
350530 Barra Bonita;17913;18408;36321
350535 Barra do Chapéu;2971;2614;5585
350540 Barra do Turvo;4141;3684;7825
350550 Barretos;58246;60997;119243
350560 Barrinha;15821;15408;31229
350570 Barueri;128210;134062;262272
350580 Bastos;10442;10623;21065
350590 Batatais;30106;30481;60587
350600 Bauru;179838;187156;366994
350610 Bebedouro;38133;39494;77627
350620 Bento de Abreu;1464;1414;2878
350630 Bernardino de Campos;5491;5664;11155
350635 Bertioga;28168;28387;56555
350640 Bilac;3882;3797;7679
350650 Birigui;58531;59822;118353
350660 Biritiba-Mirim;15936;15219;31155
350670 Boa Esperança do Sul;7388;7157;14545
350680 Bocaina;5937;5868;11805
350690 Bofete;5545;5337;10882
350700 Boituva;28431;27296;55727
350710 Bom Jesus dos Perdões;11774;11250;23024
350715 Bom Sucesso de Itararé;1962;1869;3831
350720 Borá;455;383;838
350730 Boracéia;2382;2245;4627
350740 Borborema;7950;7619;15569
350745 Borebi;1247;1272;2519
350750 Botucatu;68468;71018;139486
350760 Bragança Paulista;79801;80864;160665
350770 Braúna;2790;2662;5452
350775 Brejo Alegre;1452;1308;2760
350780 Brodowski;11689;11771;23460
350790 Brotas;11695;11723;23418
350800 Buri;9966;9604;19570
350810 Buritama;8489;8091;16580
350820 Buritizal;2271;2079;4350
350830 Cabrália Paulista;2241;2151;4392
350840 Cabreúva;23874;22651;46525
350850 Caçapava;45790;45372;91162
350860 Cachoeira Paulista;16082;16211;32293
350870 Caconde;9613;9367;18980
350880 Cafelândia;8674;8820;17494
350890 Caiabu;2178;2028;4206
350900 Caieiras;47214;48572;95786
350910 Caiuá;2950;2609;5559
350920 Cajamar;36098;35705;71803
350925 Cajati;14587;14375;28962
350930 Cajobi;5410;4930;10340
350940 Cajuru;12799;12435;25234
350945 Campina do Monte Alegre;3098;2805;5903
350950 Campinas;567530;596565;1164095
350960 Campo Limpo Paulista;39973;40873;80846
350970 Campos do Jordão;25215;25642;50857
350980 Campos Novos Paulista;2492;2344;4836
350990 Cananéia;6393;6212;12605
350995 Canas;2498;2357;4855
351000 Cândido Mota;15363;15769;31132
351010 Cândido Rodrigues;1402;1379;2781
351015 Canitar;2502;2384;4886
351020 Capão Bonito;23901;23583;47484
351030 Capela do Alto;10188;9292;19480
351040 Capivari;27200;25956;53156
351050 Caraguatatuba;56550;56768;113318
351060 Carapicuíba;192038;200259;392297
351070 Cardoso;6177;6102;12279
351080 Casa Branca;16053;13821;29874
351090 Cássia dos Coqueiros;1349;1275;2624
351100 Castilho;9978;9894;19872
351110 Catanduva;58771;60711;119482
351120 Catiguá;3913;3692;7605
351130 Cedral;4435;4331;8766
351140 Cerqueira César;9546;9564;19110
351150 Cerquilho;22594;22549;45143
351160 Cesário Lange;8960;8204;17164
351170 Charqueada;8543;7895;16438
355720 Chavantes;6325;6160;12485
351190 Clementina;4169;3825;7994
351200 Colina;9110;9133;18243
351210 Colômbia;3215;2992;6207
351220 Conchal;13937;13192;27129
351230 Conchas;8845;8559;17404
351240 Cordeirópolis;11840;11393;23233
351250 Coroados;2887;2869;5756
351260 Coronel Macedo;2526;2394;4920
351270 Corumbataí;2037;1999;4036
351280 Cosmópolis;33797;33012;66809
351290 Cosmorama;3820;3566;7386
351300 Cotia;113517;116032;229549
351310 Cravinhos;17277;16832;34109
351320 Cristais Paulista;4257;4000;8257
351330 Cruzália;1081;1127;2208
351340 Cruzeiro;39919;41164;81083
351350 Cubatão;63964;63043;127007
351360 Cunha;11409;10676;22085
351370 Descalvado;16393;16584;32977
351380 Diadema;200899;211530;412429
351385 Dirce Reis;916;856;1772
351390 Divinolândia;5727;5770;11497
351400 Dobrada;4447;4144;8591
351410 Dois Córregos;13481;13040;26521
351420 Dolcinópolis;1131;1012;2143
351430 Dourado;4580;4317;8897
351440 Dracena;23204;22640;45844
351450 Duartina;6253;6315;12568
351460 Dumont;4661;4516;9177
351470 Echaporã;3145;3169;6314
351480 Eldorado;7899;7440;15339
351490 Elias Fausto;8950;8134;17084
351492 Elisiário;1856;1593;3449
351495 Embaúba;1337;1142;2479
351500 Embu das Artes;128313;133468;261781
351510 Embu-Guaçu;33626;33668;67294
351512 Emilianópolis;1623;1550;3173
351515 Engenheiro Coelho;9877;8735;18612
351518 Espírito Santo do Pinhal;21698;22199;43897
351519 Espírito Santo do Turvo;2340;2280;4620
355730 Estiva Gerbi;5539;5334;10873
351520 Estrela d'Oeste;4360;4105;8465
351530 Estrela do Norte;1440;1321;2761
351535 Euclides da Cunha Paulista;4976;4667;9643
351540 Fartura;7709;8252;15961
351560 Fernando Prestes;2877;2884;5761
351550 Fernandópolis;33453;34667;68120
351565 Fernão;864;806;1670
351570 Ferraz de Vasconcelos;91069;93631;184700
351580 Flora Rica;849;787;1636
351590 Floreal;1513;1497;3010
351600 Flórida Paulista;8115;5886;14001
351610 Florínia;1389;1410;2799
351620 Franca;168175;173939;342114
351630 Francisco Morato;84350;83893;168243
351640 Franco da Rocha;75169;70587;145756
351650 Gabriel Monteiro;1427;1357;2784
351660 Gália;3452;3440;6892
351670 Garça;21834;22700;44534
351680 Gastão Vidigal;2614;1971;4585
351685 Gavião Peixoto;2414;2272;4686
351690 General Salgado;5535;5424;10959
351700 Getulina;6189;5099;11288
351710 Glicério;2421;2349;4770
351720 Guaiçara;5977;5658;11635
351730 Guaimbê;2862;2835;5697
351740 Guaíra;19795;20019;39814
351750 Guapiaçu;10278;9755;20033
351760 Guapiara;9133;8744;17877
351770 Guará;10509;10407;20916
351780 Guaraçaí;4282;4243;8525
351790 Guaraci;5518;5260;10778
351800 Guarani d'Oeste;983;1036;2019
351810 Guarantã;3352;3298;6650
351820 Guararapes;16211;16141;32352
351830 Guararema;14360;13983;28343
351840 Guaratinguetá;58011;61061;119072
351850 Guareí;11161;5707;16868
351860 Guariba;19676;18821;38497
351870 Guarujá;152888;158341;311229
351880 Guarulhos;651332;673448;1324780
351885 Guatapará;3878;3567;7445
351890 Guzolândia;2601;2502;5103
351900 Herculândia;4727;4551;9278
351905 Holambra;6895;6481;13376
351907 Hortolândia;111265;104558;215823
351910 Iacanga;5864;5202;11066
351920 Iacri;3341;3140;6481
351925 Iaras;5727;2242;7969
351930 Ibaté;17603;15931;33534
351940 Ibirá;6022;5836;11858
351950 Ibirarema;3755;3624;7379
351960 Ibitinga;28866;28780;57646
351970 Ibiúna;39330;37100;76430
351980 Icém;4124;3875;7999
351990 Iepê;4035;4002;8037
352000 Igaraçu do Tietê;12326;12121;24447
352010 Igarapava;14927;14798;29725
352020 Igaratá;4811;4535;9346
352030 Iguape;15438;14951;30389
352042 Ilha Comprida;5073;5215;10288
352044 Ilha Solteira;12898;13447;26345
352040 Ilhabela;16415;15782;32197
352050 Indaiatuba;116088;114945;231033
352060 Indiana;2508;2432;4940
352070 Indiaporã;1983;1985;3968
352080 Inúbia Paulista;1954;1927;3881
352090 Ipaussu;7490;7089;14579
352100 Iperó;18092;15279;33371
352110 Ipeúna;3613;3301;6914
352115 Ipiguá;2584;2435;5019
352120 Iporanga;2187;2143;4330
352130 Ipuã;8034;7533;15567
352140 Iracemápolis;11429;11128;22557
352150 Irapuã;4124;3654;7778
352160 Irapuru;5181;3005;8186
352170 Itaberá;9218;8797;18015
352180 Itaí;14250;11792;26042
352190 Itajobi;7741;7436;15177
352200 Itaju;1912;1695;3607
352210 Itanhaém;46632;49592;96224
